V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_names	plate	brain_region_long	age	sex
187	BA12	CA1_svz_10	27	CA1_svz_10	BulkSeq_svz_10	CA1	CA1_svz_10	svz	10	BA12_CA1_svz_10_1	P24	Subventricular zone	12	Female
190	BA12	CA1_svz_13	30	CA1_svz_13	BulkSeq_svz_13	CA1	CA1_svz_13	svz	13	BA12_CA1_svz_13_1	P24	Subventricular zone	12	Female
214	BA14	CA1_svz_37	14	CA1_svz_37	BulkSeq_svz_37	CA1	CA1_svz_37	svz	37	BA14_CA1_svz_37_1	P25	Subventricular zone	3	Female
215	BA14	CA1_svz_38	15	CA1_svz_38	BulkSeq_svz_38	CA1	CA1_svz_38	svz	38	BA14_CA1_svz_38_1	P25	Subventricular zone	15	Female
218	BA14	CA1_svz_41	26	CA1_svz_41	BulkSeq_svz_41	CA1	CA1_svz_41	svz	41	BA14_CA1_svz_41_1	P25	Subventricular zone	3	Female
219	BA14	CA1_svz_42	27	CA1_svz_42	BulkSeq_svz_42	CA1	CA1_svz_42	svz	42	BA14_CA1_svz_42_1	P25	Subventricular zone	15	Female
222	BA14	CA1_svz_45	30	CA1_svz_45	BulkSeq_svz_45	CA1	CA1_svz_45	svz	45	BA14_CA1_svz_45_1	P25	Subventricular zone	3	Female
223	BA14	CA1_svz_46	31	CA1_svz_46	BulkSeq_svz_46	CA1	CA1_svz_46	svz	46	BA14_CA1_svz_46_1	P25	Subventricular zone	15	Female
226	BA15	CA1_svz_49	2	CA1_svz_49	BulkSeq_svz_49	CA1	CA1_svz_49	svz	49	BA15_CA1_svz_49_1	P25	Subventricular zone	3	Female
227	BA15	CA1_svz_50	3	CA1_svz_50	BulkSeq_svz_50	CA1	CA1_svz_50	svz	50	BA15_CA1_svz_50_1	P25	Subventricular zone	15	Female
230	BA15	CA1_svz_53	14	CA1_svz_53	BulkSeq_svz_53	CA1	CA1_svz_53	svz	53	BA15_CA1_svz_53_1	P25	Subventricular zone	3	Female
231	BA15	CA1_svz_54	15	CA1_svz_54	BulkSeq_svz_54	CA1	CA1_svz_54	svz	54	BA15_CA1_svz_54_1	P25	Subventricular zone	15	Female
238	BA15	CA1_cc_4	32	CA1_cc_4	BulkSeq_cc_4	CA1	CA1_cc_4	cc	4	BA15_CA1_cc_4_1	P25	Corpus callosum	12	Female
241	BA16	CA1_cc_7	3	CA1_cc_7	BulkSeq_cc_7	CA1	CA1_cc_7	cc	7	BA16_CA1_cc_7_1	P25	Corpus callosum	12	Female
244	BA16	CA1_cc_10	14	CA1_cc_10	BulkSeq_cc_10	CA1	CA1_cc_10	cc	10	BA16_CA1_cc_10_1	P25	Corpus callosum	12	Female
247	BA16	CA1_cc_13	25	CA1_cc_13	BulkSeq_cc_13	CA1	CA1_cc_13	cc	13	BA16_CA1_cc_13_1	P25	Corpus callosum	12	Female
271	BA18	CA1_cc_37	1	CA1_cc_37	BulkSeq_cc_37	CA1	CA1_cc_37	cc	37	BA18_CA1_cc_37_1	P25	Corpus callosum	3	Female
272	BA18	CA1_cc_38	2	CA1_cc_38	BulkSeq_cc_38	CA1	CA1_cc_38	cc	38	BA18_CA1_cc_38_1	P25	Corpus callosum	15	Female
275	BA18	CA1_cc_41	13	CA1_cc_41	BulkSeq_cc_41	CA1	CA1_cc_41	cc	41	BA18_CA1_cc_41_1	P25	Corpus callosum	3	Female
276	BA18	CA1_cc_42	14	CA1_cc_42	BulkSeq_cc_42	CA1	CA1_cc_42	cc	42	BA18_CA1_cc_42_1	P25	Corpus callosum	15	Female
279	BA18	CA1_cc_45	25	CA1_cc_45	BulkSeq_cc_45	CA1	CA1_cc_45	cc	45	BA18_CA1_cc_45_1	P25	Corpus callosum	3	Female
280	BA18	CA1_cc_46	26	CA1_cc_46	BulkSeq_cc_46	CA1	CA1_cc_46	cc	46	BA18_CA1_cc_46_1	P25	Corpus callosum	15	Female
283	BA18	CA1_cc_49	29	CA1_cc_49	BulkSeq_cc_49	CA1	CA1_cc_49	cc	49	BA18_CA1_cc_49_1	P25	Corpus callosum	3	Female
284	BA18	CA1_cc_50	30	CA1_cc_50	BulkSeq_cc_50	CA1	CA1_cc_50	cc	50	BA18_CA1_cc_50_1	P25	Corpus callosum	15	Female
287	BA19	CA1_cc_53	1	CA1_cc_53	BulkSeq_cc_53	CA1	CA1_cc_53	cc	53	BA19_CA1_cc_53_1	P26	Corpus callosum	3	Female
288	BA19	CA1_cc_54	2	CA1_cc_54	BulkSeq_cc_54	CA1	CA1_cc_54	cc	54	BA19_CA1_cc_54_1	P26	Corpus callosum	15	Female
294	BA19	CA1_th_1	16	CA1_th_1	BulkSeq_th_1	CA1	CA1_th_1	th	1	BA19_CA1_th_1_1	P26	Thalamus	12	Female
297	BA19	CA1_th_4	27	CA1_th_4	BulkSeq_th_4	CA1	CA1_th_4	th	4	BA19_CA1_th_4_1	P26	Thalamus	12	Female
300	BA19	CA1_th_7	30	CA1_th_7	BulkSeq_th_7	CA1	CA1_th_7	th	7	BA19_CA1_th_7_1	P26	Thalamus	12	Female
303	BA20	CA1_th_10	1	CA1_th_10	BulkSeq_th_10	CA1	CA1_th_10	th	10	BA20_CA1_th_10_1	P26	Thalamus	12	Female
306	BA20	CA1_th_13	4	CA1_th_13	BulkSeq_th_13	CA1	CA1_th_13	th	13	BA20_CA1_th_13_1	P26	Thalamus	12	Female
313	BA20	CA1_hy_1	27	CA1_hy_1	BulkSeq_hy_1	CA1	CA1_hy_1	hy	1	BA20_CA1_hy_1_1	P26	Hypothalamus	12	Female
316	BA20	CA1_hy_4	30	CA1_hy_4	BulkSeq_hy_4	CA1	CA1_hy_4	hy	4	BA20_CA1_hy_4_1	P26	Hypothalamus	12	Female
338	BA22	CA1_th_37	4	CA1_th_37	BulkSeq_th_37	CA1	CA1_th_37	th	37	BA22_CA1_th_37_1	P26	Thalamus	3	Female
339	BA22	CA1_th_38	13	CA1_th_38	BulkSeq_th_38	CA1	CA1_th_38	th	38	BA22_CA1_th_38_1	P26	Thalamus	15	Female
342	BA22	CA1_th_41	16	CA1_th_41	BulkSeq_th_41	CA1	CA1_th_41	th	41	BA22_CA1_th_41_1	P26	Thalamus	3	Female
343	BA22	CA1_th_42	25	CA1_th_42	BulkSeq_th_42	CA1	CA1_th_42	th	42	BA22_CA1_th_42_1	P26	Thalamus	15	Female
346	BA22	CA1_th_45	28	CA1_th_45	BulkSeq_th_45	CA1	CA1_th_45	th	45	BA22_CA1_th_45_1	P26	Thalamus	3	Female
347	BA22	CA1_th_46	29	CA1_th_46	BulkSeq_th_46	CA1	CA1_th_46	th	46	BA22_CA1_th_46_1	P26	Thalamus	15	Female
350	BA22	CA1_th_49	32	CA1_th_49	BulkSeq_th_49	CA1	CA1_th_49	th	49	BA22_CA1_th_49_1	P26	Thalamus	3	Female
351	BA23	CA1_th_50	1	CA1_th_50	BulkSeq_th_50	CA1	CA1_th_50	th	50	BA23_CA1_th_50_1	P26	Thalamus	15	Female
354	BA23	CA1_th_53	4	CA1_th_53	BulkSeq_th_53	CA1	CA1_th_53	th	53	BA23_CA1_th_53_1	P26	Thalamus	3	Female
355	BA23	CA1_th_54	13	CA1_th_54	BulkSeq_th_54	CA1	CA1_th_54	th	54	BA23_CA1_th_54_1	P26	Thalamus	15	Female
375	BA24	CA1_hy_10	25	CA1_hy_10	BulkSeq_hy_10	CA1	CA1_hy_10	hy	10	BA24_CA1_hy_10_1	P26	Hypothalamus	12	Female
