V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_names	plate	brain_region_long	age	sex
231	BA15	CA1_svz_54	15	CA1_svz_54	BulkSeq_svz_54	CA1	CA1_svz_54	svz	54	BA15_CA1_svz_54_1	P25	Subventricular zone	15	Female
232	BA15	CA1_svz_55	16	CA1_svz_55	BulkSeq_svz_55	CA1	CA1_svz_55	svz	55	BA15_CA1_svz_55_1	P25	Subventricular zone	18	Female
233	BA15	CA1_svz_56	25	CA1_svz_56	BulkSeq_svz_56	CA1	CA1_svz_56	svz	56	BA15_CA1_svz_56_1	P25	Subventricular zone	21	Female
238	BA15	CA1_cc_4	32	CA1_cc_4	BulkSeq_cc_4	CA1	CA1_cc_4	cc	4	BA15_CA1_cc_4_1	P25	Corpus callosum	12	Female
241	BA16	CA1_cc_7	3	CA1_cc_7	BulkSeq_cc_7	CA1	CA1_cc_7	cc	7	BA16_CA1_cc_7_1	P25	Corpus callosum	12	Female
244	BA16	CA1_cc_10	14	CA1_cc_10	BulkSeq_cc_10	CA1	CA1_cc_10	cc	10	BA16_CA1_cc_10_1	P25	Corpus callosum	12	Female
247	BA16	CA1_cc_13	25	CA1_cc_13	BulkSeq_cc_13	CA1	CA1_cc_13	cc	13	BA16_CA1_cc_13_1	P25	Corpus callosum	12	Female
271	BA18	CA1_cc_37	1	CA1_cc_37	BulkSeq_cc_37	CA1	CA1_cc_37	cc	37	BA18_CA1_cc_37_1	P25	Corpus callosum	3	Female
272	BA18	CA1_cc_38	2	CA1_cc_38	BulkSeq_cc_38	CA1	CA1_cc_38	cc	38	BA18_CA1_cc_38_1	P25	Corpus callosum	15	Female
273	BA18	CA1_cc_39	3	CA1_cc_39	BulkSeq_cc_39	CA1	CA1_cc_39	cc	39	BA18_CA1_cc_39_1	P25	Corpus callosum	18	Female
274	BA18	CA1_cc_40	4	CA1_cc_40	BulkSeq_cc_40	CA1	CA1_cc_40	cc	40	BA18_CA1_cc_40_1	P25	Corpus callosum	21	Female
275	BA18	CA1_cc_41	13	CA1_cc_41	BulkSeq_cc_41	CA1	CA1_cc_41	cc	41	BA18_CA1_cc_41_1	P25	Corpus callosum	3	Female
276	BA18	CA1_cc_42	14	CA1_cc_42	BulkSeq_cc_42	CA1	CA1_cc_42	cc	42	BA18_CA1_cc_42_1	P25	Corpus callosum	15	Female
277	BA18	CA1_cc_43	15	CA1_cc_43	BulkSeq_cc_43	CA1	CA1_cc_43	cc	43	BA18_CA1_cc_43_1	P25	Corpus callosum	18	Female
278	BA18	CA1_cc_44	16	CA1_cc_44	BulkSeq_cc_44	CA1	CA1_cc_44	cc	44	BA18_CA1_cc_44_1	P25	Corpus callosum	21	Female
279	BA18	CA1_cc_45	25	CA1_cc_45	BulkSeq_cc_45	CA1	CA1_cc_45	cc	45	BA18_CA1_cc_45_1	P25	Corpus callosum	3	Female
280	BA18	CA1_cc_46	26	CA1_cc_46	BulkSeq_cc_46	CA1	CA1_cc_46	cc	46	BA18_CA1_cc_46_1	P25	Corpus callosum	15	Female
281	BA18	CA1_cc_47	27	CA1_cc_47	BulkSeq_cc_47	CA1	CA1_cc_47	cc	47	BA18_CA1_cc_47_1	P25	Corpus callosum	18	Female
282	BA18	CA1_cc_48	28	CA1_cc_48	BulkSeq_cc_48	CA1	CA1_cc_48	cc	48	BA18_CA1_cc_48_1	P25	Corpus callosum	21	Female
283	BA18	CA1_cc_49	29	CA1_cc_49	BulkSeq_cc_49	CA1	CA1_cc_49	cc	49	BA18_CA1_cc_49_1	P25	Corpus callosum	3	Female
284	BA18	CA1_cc_50	30	CA1_cc_50	BulkSeq_cc_50	CA1	CA1_cc_50	cc	50	BA18_CA1_cc_50_1	P25	Corpus callosum	15	Female
285	BA18	CA1_cc_51	31	CA1_cc_51	BulkSeq_cc_51	CA1	CA1_cc_51	cc	51	BA18_CA1_cc_51_1	P25	Corpus callosum	18	Female
286	BA18	CA1_cc_52	32	CA1_cc_52	BulkSeq_cc_52	CA1	CA1_cc_52	cc	52	BA18_CA1_cc_52_1	P25	Corpus callosum	21	Female
287	BA19	CA1_cc_53	1	CA1_cc_53	BulkSeq_cc_53	CA1	CA1_cc_53	cc	53	BA19_CA1_cc_53_1	P26	Corpus callosum	3	Female
288	BA19	CA1_cc_54	2	CA1_cc_54	BulkSeq_cc_54	CA1	CA1_cc_54	cc	54	BA19_CA1_cc_54_1	P26	Corpus callosum	15	Female
289	BA19	CA1_cc_55	3	CA1_cc_55	BulkSeq_cc_55	CA1	CA1_cc_55	cc	55	BA19_CA1_cc_55_1	P26	Corpus callosum	18	Female
290	BA19	CA1_cc_56	4	CA1_cc_56	BulkSeq_cc_56	CA1	CA1_cc_56	cc	56	BA19_CA1_cc_56_1	P26	Corpus callosum	21	Female
294	BA19	CA1_th_1	16	CA1_th_1	BulkSeq_th_1	CA1	CA1_th_1	th	1	BA19_CA1_th_1_1	P26	Thalamus	12	Female
297	BA19	CA1_th_4	27	CA1_th_4	BulkSeq_th_4	CA1	CA1_th_4	th	4	BA19_CA1_th_4_1	P26	Thalamus	12	Female
300	BA19	CA1_th_7	30	CA1_th_7	BulkSeq_th_7	CA1	CA1_th_7	th	7	BA19_CA1_th_7_1	P26	Thalamus	12	Female
303	BA20	CA1_th_10	1	CA1_th_10	BulkSeq_th_10	CA1	CA1_th_10	th	10	BA20_CA1_th_10_1	P26	Thalamus	12	Female
306	BA20	CA1_th_13	4	CA1_th_13	BulkSeq_th_13	CA1	CA1_th_13	th	13	BA20_CA1_th_13_1	P26	Thalamus	12	Female
313	BA20	CA1_hy_1	27	CA1_hy_1	BulkSeq_hy_1	CA1	CA1_hy_1	hy	1	BA20_CA1_hy_1_1	P26	Hypothalamus	12	Female
316	BA20	CA1_hy_4	30	CA1_hy_4	BulkSeq_hy_4	CA1	CA1_hy_4	hy	4	BA20_CA1_hy_4_1	P26	Hypothalamus	12	Female
338	BA22	CA1_th_37	4	CA1_th_37	BulkSeq_th_37	CA1	CA1_th_37	th	37	BA22_CA1_th_37_1	P26	Thalamus	3	Female
339	BA22	CA1_th_38	13	CA1_th_38	BulkSeq_th_38	CA1	CA1_th_38	th	38	BA22_CA1_th_38_1	P26	Thalamus	15	Female
340	BA22	CA1_th_39	14	CA1_th_39	BulkSeq_th_39	CA1	CA1_th_39	th	39	BA22_CA1_th_39_1	P26	Thalamus	18	Female
341	BA22	CA1_th_40	15	CA1_th_40	BulkSeq_th_40	CA1	CA1_th_40	th	40	BA22_CA1_th_40_1	P26	Thalamus	21	Female
342	BA22	CA1_th_41	16	CA1_th_41	BulkSeq_th_41	CA1	CA1_th_41	th	41	BA22_CA1_th_41_1	P26	Thalamus	3	Female
343	BA22	CA1_th_42	25	CA1_th_42	BulkSeq_th_42	CA1	CA1_th_42	th	42	BA22_CA1_th_42_1	P26	Thalamus	15	Female
344	BA22	CA1_th_43	26	CA1_th_43	BulkSeq_th_43	CA1	CA1_th_43	th	43	BA22_CA1_th_43_1	P26	Thalamus	18	Female
345	BA22	CA1_th_44	27	CA1_th_44	BulkSeq_th_44	CA1	CA1_th_44	th	44	BA22_CA1_th_44_1	P26	Thalamus	21	Female
346	BA22	CA1_th_45	28	CA1_th_45	BulkSeq_th_45	CA1	CA1_th_45	th	45	BA22_CA1_th_45_1	P26	Thalamus	3	Female
347	BA22	CA1_th_46	29	CA1_th_46	BulkSeq_th_46	CA1	CA1_th_46	th	46	BA22_CA1_th_46_1	P26	Thalamus	15	Female
348	BA22	CA1_th_47	30	CA1_th_47	BulkSeq_th_47	CA1	CA1_th_47	th	47	BA22_CA1_th_47_1	P26	Thalamus	18	Female
349	BA22	CA1_th_48	31	CA1_th_48	BulkSeq_th_48	CA1	CA1_th_48	th	48	BA22_CA1_th_48_1	P26	Thalamus	21	Female
350	BA22	CA1_th_49	32	CA1_th_49	BulkSeq_th_49	CA1	CA1_th_49	th	49	BA22_CA1_th_49_1	P26	Thalamus	3	Female
351	BA23	CA1_th_50	1	CA1_th_50	BulkSeq_th_50	CA1	CA1_th_50	th	50	BA23_CA1_th_50_1	P26	Thalamus	15	Female
352	BA23	CA1_th_51	2	CA1_th_51	BulkSeq_th_51	CA1	CA1_th_51	th	51	BA23_CA1_th_51_1	P26	Thalamus	18	Female
353	BA23	CA1_th_52	3	CA1_th_52	BulkSeq_th_52	CA1	CA1_th_52	th	52	BA23_CA1_th_52_1	P26	Thalamus	21	Female
354	BA23	CA1_th_53	4	CA1_th_53	BulkSeq_th_53	CA1	CA1_th_53	th	53	BA23_CA1_th_53_1	P26	Thalamus	3	Female
355	BA23	CA1_th_54	13	CA1_th_54	BulkSeq_th_54	CA1	CA1_th_54	th	54	BA23_CA1_th_54_1	P26	Thalamus	15	Female
356	BA23	CA1_th_55	14	CA1_th_55	BulkSeq_th_55	CA1	CA1_th_55	th	55	BA23_CA1_th_55_1	P26	Thalamus	18	Female
357	BA23	CA1_th_56	15	CA1_th_56	BulkSeq_th_56	CA1	CA1_th_56	th	56	BA23_CA1_th_56_1	P26	Thalamus	21	Female
375	BA24	CA1_hy_10	25	CA1_hy_10	BulkSeq_hy_10	CA1	CA1_hy_10	hy	10	BA24_CA1_hy_10_1	P26	Hypothalamus	12	Female
378	BA24	CA1_hy_13	28	CA1_hy_13	BulkSeq_hy_13	CA1	CA1_hy_13	hy	13	BA24_CA1_hy_13_1	P26	Hypothalamus	12	Female
389	BA25	CA1_hy_37	15	CA1_hy_37	BulkSeq_hy_37	CA1	CA1_hy_37	hy	37	BA25_CA1_hy_37_1	P27	Hypothalamus	3	Female
390	BA25	CA1_hy_38	16	CA1_hy_38	BulkSeq_hy_38	CA1	CA1_hy_38	hy	38	BA25_CA1_hy_38_1	P27	Hypothalamus	15	Female
391	BA25	CA1_hi_4	25	CA1_hi_4	BulkSeq_hi_4	CA1	CA1_hi_4	hi	4	BA25_CA1_hi_4_1	P27	Hippocampus (anterior)	12	Female
394	BA25	CA1_hi_7	28	CA1_hi_7	BulkSeq_hi_7	CA1	CA1_hi_7	hi	7	BA25_CA1_hi_7_1	P27	Hippocampus (anterior)	12	Female
397	BA25	CA1_hi_10	31	CA1_hi_10	BulkSeq_hi_10	CA1	CA1_hi_10	hi	10	BA25_CA1_hi_10_1	P27	Hippocampus (anterior)	12	Female
399	BA26	CA1_hy_39	1	CA1_hy_39	BulkSeq_hy_39	CA1	CA1_hy_39	hy	39	BA26_CA1_hy_39_1	P27	Hypothalamus	18	Female
400	BA26	CA1_hy_40	2	CA1_hy_40	BulkSeq_hy_40	CA1	CA1_hy_40	hy	40	BA26_CA1_hy_40_1	P27	Hypothalamus	21	Female
